frame_index,timestamp_sec,face_detected,ear,smoothed_ear,eye_closed,blink_frame,blink_event,blink_count_so_far
30,0.5,True,0.28232305166276445,0.28394180006611575,False,False,False,0
31,0.5166666666666667,True,0.2892266470039616,0.28456343497264497,False,False,False,0
32,0.5333333333333333,True,0.283808727382487,0.2851194753497377,False,False,False,0
33,0.55,True,0.287915897899352,0.2869837574286002,False,False,False,0
34,0.5666666666666667,True,0.2795189055055133,0.28374784359578414,False,False,False,0
35,0.5833333333333334,True,0.272522546018488,0.27998578314111777,False,False,False,0
36,0.6,True,0.27852987895570447,0.27685711015990194,False,False,False,0
37,0.6166666666666667,True,0.28679707524159226,0.27928316673859493,False,False,False,0
38,0.6333333333333333,True,0.2760329175731103,0.2804532905901357,False,False,False,0
39,0.65,True,0.28343982920981203,0.2820899406748382,False,False,False,0
40,0.6666666666666666,True,0.27129469529326766,0.2769224806920633,False,False,False,0
41,0.6833333333333333,True,0.27591975668363683,0.2768847603955722,False,False,False,0
42,0.7,True,0.20102028732999977,0.24941157976896808,False,False,False,0
43,0.7166666666666667,True,0.2045097887190373,0.22714994424422463,False,False,False,0
44,0.7333333333333333,True,0.07246205304168551,0.15933070969690752,False,False,False,0
45,0.75,True,0.06586536592234711,0.11427906922768997,True,True,False,0
46,0.7666666666666667,True,0.16274955895595475,0.10035899263999577,True,True,False,0
47,0.7833333333333333,True,0.16025614270809513,0.12962368919546566,True,True,False,0
48,0.8,True,0.21257404869922975,0.1785265834544265,False,False,True,1
49,0.8166666666666667,True,0.2142575020193093,0.19569589780887806,False,False,False,1
50,0.8333333333333334,True,0.21849786413024358,0.21510980494959422,False,False,False,1
51,0.85,True,0.2327151107893164,0.22182349231295642,False,False,False,1
52,0.8666666666666667,True,0.2321370525160374,0.22778334247853246,False,False,False,1
53,0.8833333333333333,True,0.24875519923202316,0.2378691208457923,False,False,False,1
54,0.9,True,0.25869944495889474,0.24653056556898512,False,False,False,1
55,0.9166666666666666,True,0.2653589059194653,0.2576045167034611,False,False,False,1
56,0.9333333333333333,True,0.259884221416102,0.2613141907648207,False,False,False,1
57,0.95,True,0.27848713188129565,0.267910086405621,False,False,False,1
58,0.9666666666666667,True,0.26926717094696706,0.26921284141478824,False,False,False,1
59,0.9833333333333333,True,0.2911097212134516,0.2796213413472381,False,False,False,1
60,1.0,True,0.2797969253685674,0.28005793917632865,False,False,False,1
61,1.0166666666666666,True,0.2794759468375161,0.28346086447317836,False,False,False,1
62,1.0333333333333334,True,0.28184426550217556,0.2803723792360863,False,False,False,1
63,1.05,True,0.2639885356619802,0.2751029160005573,False,False,False,1
64,1.0666666666666667,True,0.2652125051006692,0.2703484354216083,False,False,False,1
65,1.0833333333333333,True,0.2658403175561962,0.26501378610628185,False,False,False,1
66,1.1,True,0.2590406283936996,0.26336448368352167,False,False,False,1
67,1.1166666666666667,True,0.2668278021717666,0.2639029160405541,False,False,False,1
68,1.1333333333333333,True,0.26473653922570306,0.26353498993038976,False,False,False,1
69,1.15,True,0.2611469266322941,0.26423708934325457,False,False,False,1
70,1.1666666666666667,True,0.2622541578044851,0.2627125412208274,False,False,False,1
71,1.1833333333333333,True,0.2693496781988726,0.2642502542118839,False,False,False,1
72,1.2,True,0.27483438567147556,0.26881274055827775,False,False,False,1
73,1.2166666666666666,True,0.26548276378595076,0.2698889425520996,False,False,False,1
74,1.2333333333333334,True,0.27329277910657357,0.2712033095213333,False,False,False,1
75,1.25,True,0.2707054044407321,0.2698269824444188,False,False,False,1
76,1.2666666666666666,True,0.273696914097749,0.27256503254835157,False,False,False,1
77,1.2833333333333334,True,0.271392086540708,0.2719314683597297,False,False,False,1
78,1.3,True,0.27384286158651616,0.2729772874083244,False,False,False,1
79,1.3166666666666667,True,0.27285663616313316,0.27269719476345244,False,False,False,1
80,1.3333333333333333,True,0.2697414064328701,0.27214696806083977,False,False,False,1
81,1.35,True,0.2743071208745211,0.2723017211568415,False,False,False,1
82,1.3666666666666667,True,0.27343299908344154,0.27249384213027755,False,False,False,1
83,1.3833333333333333,True,0.26332187668546336,0.270353998881142,False,False,False,1
